日期,憲基金,憲美股,憲台股,萱基金,萱美股,萱台股,傑基金,傑美股,傑台股,文基金,文美股,文台股
2026-08-19,5807299,543510,658231,5565892,98958,109091,14609630,320993,317314,14431804,334678,242285
2026-08-20,5866078,541936,665895,5622936,98385,109958,14756785,320790,322474,14577338,334406,246836
2026-08-21,5804074,544213,674776,5563920,97862,111076,14600386,318634,328216,14422942,332168,251788
2026-08-24,5851164,552635,677521,5605061,97825,113799,14722882,324299,334100,14542983,337833,258462
2026-08-25,5884390,550573,684721,5637551,102287,114614,14805819,327684,339078,14625065,341019,262879
2026-08-26,5974266,559861,696901,5723350,103137,115988,15032269,329472,346701,14848675,342925,269621
2026-08-27,5983833,559444,697619,5733685,103101,116035,15055159,334845,349963,14871571,348295,272867
2026-08-28,6076139,563816,703204,5852978,104207,120830,15288561,337301,358125,15101846,350955,278070
2026-08-31,5966986,560842,701498,5717028,108377,120051,15013290,340505,364398,14830088,353996,284856
2026-09-01,6125254,566903,715549,5868442,108620,122330,15411727,340598,374693,15223610,354145,293683
